cpu_usage,ram_usage,disk_write_bytes,net_sent,net_recv,process_count,keystrokes,mouse_clicks,mouse_moves,label
6.245153049,64.27193542,270559342,71335488,73104523,225,3,1,114,0
6.743645992,54.63175888,319258081,76370107,72836282,230,9,2,126,0
5.302062918,56.96607658,169858874,54809287,63297067,218,3,1,110,0
4.776134926,55.46774501,218372811,70051156,62621327,208,5,0,125,0
5.303209957,54.5709445,365529789,75879811,54264944,228,3,0,120,0
6.170343454,70.64277379,486121089,73844968,64671932,238,6,0,132,0
4.027162485,57.14268919,120166709,47312535,53979786,203,6,1,123,0
5.768361968,73.17809455,456153728,78251675,80663837,202,5,0,124,0
5.839875055,74.24816313,330752480,55067057,88650971,228,4,2,122,0
5.913064741,64.28151175,325567826,53569626,88802978,210,3,2,125,0
4.72606624,53.57502807,300111414,42497253,84602843,232,4,1,102,0
6.14215817,59.36370608,127757634,59446946,74031685,237,3,1,130,0
4.274174459,69.94330658,135950740,44360544,78034627,210,2,2,115,0
4.597811009,59.18476822,340364802,49941592,61408232,226,3,2,108,0
6.63241014,52.17543046,236383428,52677704,75230816,232,5,2,120,0
6.216169452,63.91962277,466907226,72353052,68225981,220,4,1,117,0
4.041236662,71.12802129,262636214,75019546,69280693,238,4,1,115,0
4.745128781,69.89815968,157312583,52098652,80311062,230,7,1,122,0
4.643219449,54.3780785,385887533,74347924,61276734,237,2,2,123,0
4.812418984,66.81911536,217341368,74289237,62721584,201,6,1,115,0
4.742679311,55.51260659,310188122,70586038,86985671,226,7,1,124,0
4.187578887,55.45518836,379133114,45867804,52248971,235,5,1,133,0
5.37682155,71.85179433,460105644,67612913,69425371,210,2,1,137,0
6.198200424,56.24172382,416876477,77800962,86512032,217,5,1,116,0
5.820195174,56.58118366,370544427,67301619,74414520,200,0,0,121,0
6.018615006,50.01633477,371853272,53264673,71856282,234,3,2,116,0
4.243447536,71.76672585,478369857,60023172,59989767,234,5,1,108,0
6.854472131,69.81487033,218329638,65829001,63731019,230,5,1,126,0
6.515475502,65.68322338,100444837,60422816,84081936,227,9,1,126,0
6.415270955,68.7566441,208781823,44798117,72368725,238,1,2,119,0
6.468951415,53.80121419,187156551,52482561,70589687,200,4,2,112,0
6.798131524,61.45808986,364733834,72095841,53983188,224,2,2,135,0
5.632761898,58.78048468,353484639,74456721,50641126,237,5,0,117,0
4.600846054,52.34441316,337384553,45492001,88547407,219,3,1,122,0
5.850350824,62.15326213,106497377,78095470,65079446,202,6,1,132,0
6.228644481,73.01849126,391511221,53152904,74128522,201,5,1,127,0
6.21375218,51.00147798,229412164,66492549,53188602,217,5,2,123,0
5.564347073,57.28652284,366022395,70073005,77324571,209,2,0,128,0
4.205376158,55.18852341,322631371,72477849,87302668,204,3,1,104,0
5.113338815,55.95366634,237092370,77829988,73026610,208,2,2,127,0
6.762299825,72.7108638,153830506,52516781,55044612,201,6,1,100,0
5.753346729,61.70172636,137767559,74340258,73268861,233,3,1,131,0
5.61499583,61.65748532,432607333,45267476,80653888,237,0,0,124,0
4.806560543,69.01439106,467359016,68201636,66256661,230,7,2,124,0
5.10534676,53.8623051,359915218,69679109,85193509,209,4,0,101,0
6.686038267,62.18163385,141373645,67108929,75947318,211,5,0,120,0
5.999389143,60.74963035,260810886,50092589,85969956,235,4,2,125,0
6.36216108,64.92276726,391575680,74921725,74940212,220,6,2,97,0
5.363036269,74.98894258,411928353,46754338,55251518,205,4,2,127,0
5.890741658,69.23622235,147287448,42145391,62387668,202,4,0,131,0
4.745150826,59.94664258,100012287,68698599,58071797,209,2,1,115,0
6.116382491,70.68882631,384854818,59019028,86353059,204,5,2,122,0
5.282804001,54.26770908,242638470,73963920,80416002,225,3,2,103,0
5.327636544,50.76159216,201792532,55335885,77055934,220,2,2,113,0
5.947966974,55.11120931,105158987,46731143,62038652,225,1,1,121,0
6.808841864,58.5102889,316119762,73457687,57361790,237,4,1,121,0
4.19201904,62.76451894,440460294,61956385,80258043,225,4,0,108,0
6.474229712,65.37822851,483052658,47567831,68966317,207,6,1,113,0
4.877149331,72.76514293,326297980,68815359,59031582,204,5,1,123,0
5.331758364,62.74635024,305784531,60444545,74664879,214,4,2,127,0
4.065739986,62.53189112,134022554,64172519,51613354,215,0,2,98,0
4.903138234,51.25607525,319549120,58435933,63046810,200,5,1,136,0
5.507893728,50.87278882,251991631,73148359,68742279,215,2,2,129,0
4.168528232,63.77899905,342854112,73182508,55918333,236,5,2,132,0
5.473287188,60.95446533,255490539,68375552,89386179,202,1,0,110,0
6.781331887,70.97950987,196119649,44216055,58363894,230,7,1,116,0
4.316179654,54.01698962,137986110,73554154,55214125,212,2,2,124,0
6.293322184,50.62429155,225967377,66840519,58141394,215,3,2,98,0
5.22901316,61.2259692,138657933,67880966,80762445,220,5,2,139,0
5.965521144,55.93696392,170758780,54519313,67020226,201,4,0,112,0
4.780709794,51.24035933,494934463,75171182,72616637,226,5,2,126,0
4.478476788,68.11495717,277641422,69014864,50840366,237,6,2,107,0
4.481387843,52.789825,312748706,44503618,51377252,225,4,1,116,0
4.211475837,65.2079875,449447411,56311121,67833021,237,3,2,122,0
4.556940115,57.02624375,498227560,75455214,82666209,224,4,2,107,0
5.992658155,54.33740126,333085779,41887868,85409555,210,4,2,136,0
6.645071836,59.49378807,424989528,78456664,53468262,207,5,2,118,0
